filename	before_chars	after_chars
2025-11-25_remarks_in_an_exchange_with_reporters_aboard_air_force_one_en_route_to_west_palm_beach_florida.txt	13512	8997
2025-11-27_remarks_during_a_video_conference_and_question_and_answer_session_with_united_states_servicemembers_and_an_exchange_with.txt	54583	51260
2025-11-30_remarks_in_an_exchange_with_reporters_aboard_air_force_one_en_route_to_joint_base_andrews_maryland.txt	17140	11068
2025-12-01_remarks_during_a_telerally_for_tennessee_republican_congressional_candidate_matt_van_epps.txt	7557	7294
2025-12-01_telephone_remarks_during_a_campaign_rally_for_tennessee_republican_congressional_candidate_matt_van_epps.txt	5638	4595
2025-12-02_remarks_on_announcing_child_savings_accounts_and_an_exchange_with_reporters.txt	40538	22361
2025-12-02_remarks_prior_to_a_cabinet_meeting_and_an_exchange_with_reporters.txt	94817	58653
2025-12-03_remarks_on_fuel_efficiency_standards_and_an_exchange_with_reporters.txt	69730	49237
2025-12-04_remarks_at_a_signing_ceremony_with_president_felix_antoine_tshisekedi_tshilombohe_of_the_democratic_republic_of_the_cong.txt	28773	20168
2025-12-04_remarks_on_lighting_the_national_christmas_tree.txt	7070	6702
2025-12-05_remarks_in_an_exchange_with_reporters_prior_to_the_2026_f_d_ration_internationale_des_associations_de_football_fifa_worl.txt	19688	10507
2025-12-05_remarks_on_accepting_the_2025_fifa_peace_prize.txt	5449	3106
2025-12-05_remarks_prior_to_a_musical_performance_by_andrea_bocelli.txt	3608	3419
2025-12-05_remarks_with_president_claudia_sheinbaum_pardo_of_mexico_prime_minister_mark_carney_of_canada_and_f_d_ration_internation.txt	8356	787
2025-12-06_remarks_at_the_kennedy_center_honors_dinner.txt	36655	36422
2025-12-06_remarks_on_presenting_the_2025_kennedy_center_honoree_medals.txt	8580	7762
2025-12-07_remarks_at_the_kennedy_center_honors_ceremony.txt	12919	12516
2025-12-07_remarks_in_an_exchange_with_reporters_prior_to_the_kennedy_center_honors_ceremony.txt	29347	21304
2025-12-08_remarks_in_a_roundtable_discussion_on_federal_relief_for_farmers_and_an_exchange_with_reporters.txt	65428	37646
2025-12-09_remarks_in_an_exchange_with_reporters_aboard_air_force_one_en_route_to_avoca_pennsylvania.txt	3786	1920
2025-12-09_remarks_on_the_national_economy_in_mount_pocono_pennsylvania.txt	86759	83535
2025-12-10_remarks_during_a_roundtable_discussion_with_business_leaders_and_an_exchange_with_reporters.txt	73718	45722
2025-12-11_remarks_at_the_congressional_ball.txt	19278	18783
2025-12-12_remarks_on_signing_the_miracle_on_ice_congressional_gold_medal_act_and_an_exchange_with_reporters.txt	48168	25985
2025-12-13_remarks_in_an_exchange_with_reporters_prior_to_departure_for_baltimore_maryland.txt	1288	831
2025-12-14_remarks_at_a_christmas_reception.txt	41248	37593
2025-12-15_remarks_on_presenting_the_mexican_border_defense_medal_and_an_exchange_with_reporters.txt	43604	35522
2025-12-16_remarks_at_a_hanukkah_reception.txt	39221	35807
2025-12-17_address_to_the_nation_on_the_economy.txt	15539	15386
2025-12-17_remarks_and_an_exchange_with_reporters_upon_arrival_at_joint_base_andrews_maryland.txt	2211	1398
2025-12-19_remarks_on_efforts_to_reduce_prescription_drug_prices.txt	44961	30247
2025-12-19_remarks_on_the_national_economy_in_rocky_mount_north_carolina.txt	77297	75222
2025-12-19_remarks_prior_to_departure_for_rocky_mount_north_carolina.txt	1136	939
2025-12-21_telephone_remarks_at_turning_point_u_s_a_s_americafest_conference_in_phoenix_arizona.txt	2615	1582
2025-12-22_remarks_on_united_states_naval_ship_development_and_an_exchange_with_reporters_in_palm_beach_florida.txt	50917	43744
2025-12-24_remarks_during_a_christmas_eve_telephone_call_with_deployed_united_states_servicemembers_from_palm_beach_florida.txt	8863	8371
2025-12-28_remarks_in_an_exchange_with_reporters_during_a_greeting_with_president_volodymyr_zelenskyy_of_ukraine_in_palm_beach_flor.txt	7562	3023
2025-12-28_the_president_s_news_conference_with_president_volodymyr_zelenskyy_of_ukraine_in_palm_beach_florida.txt	25404	15078
2025-12-29_remarks_in_an_exchange_with_reporters_during_a_greeting_with_prime_minister_benjamin_netanyahu_of_israel_in_palm_beach_f.txt	18473	11145
2025-12-29_the_president_s_news_conference_with_prime_minister_benjamin_netanyahu_of_israel_in_palm_beach_florida.txt	28264	17275
2025-12-31_remarks_at_a_new_year_s_eve_party_and_an_exchange_with_reporters_in_palm_beach_florida.txt	10885	8846
2026-01-03_the_president_s_news_conference_in_palm_beach_florida.txt	57581	45435
2026-01-04_remarks_in_an_exchange_with_reporters_aboard_air_force_one_en_route_to_joint_base_andrews_maryland.txt	44985	31474
2026-01-06_remarks_at_the_house_republican_members_retreat.txt	79647	78177
2026-01-07_interview_with_zolan_kanno_youngs_tyler_pager_katie_rogers_and_david_e_sanger_of_the_new_york_times.txt	124602	122593
2026-01-09_remarks_and_an_exchange_with_reporters_prior_to_departure_for_palm_beach_florida.txt	2652	1268
2026-01-09_remarks_during_a_meeting_with_executives_of_oil_and_gas_companies_and_an_exchange_with_reporters.txt	87705	54201
2026-01-11_remarks_in_an_exchange_with_reporters_aboard_air_force_one_en_route_to_joint_base_andrews_maryland.txt	25084	17530
2026-01-13_remarks_and_an_exchange_with_reporters_at_joint_base_andrews_maryland.txt	9951	6253
2026-01-13_remarks_and_an_exchange_with_reporters_prior_to_departure_for_dearborn_michigan.txt	3458	2515
2026-01-13_remarks_during_a_tour_of_the_ford_river_rouge_complex_and_an_exchange_with_reporters_in_dearborn_michigan.txt	11413	7457
2026-01-13_remarks_to_the_detroit_economic_club_in_detroit_michigan.txt	62872	62156
2026-01-14_remarks_on_signing_the_whole_milk_for_healthy_kids_act_of_2025_and_an_exchange_with_reporters.txt	49930	29847
2026-01-15_remarks_honoring_the_2025_stanley_cup_champion_florida_panthers.txt	16777	12526
2026-01-16_remarks_at_a_dedication_ceremony_for_the_southern_boulevard_in_palm_beach_florida.txt	25925	24134
2026-01-16_remarks_at_a_roundtable_discussion_on_rural_health_care_improvement_efforts.txt	53083	46439
2026-01-16_remarks_in_an_exchange_with_reporters_prior_to_departure_for_palm_beach_florida.txt	6354	4104
2026-01-19_remarks_and_an_exchange_with_reporters_prior_to_departure_from_west_palm_beach_florida.txt	7775	5482
2026-01-20_remarks_during_a_press_briefing_with_white_house_press_secretary_karoline_leavitt_and_an_exchange_with_reporters.txt	100328	89756
2026-01-21_remarks_and_a_question_and_answer_session_at_the_world_economic_forum_in_davos_switzerland.txt	83078	76996
2026-01-21_remarks_during_a_meeting_with_president_abdelfattah_said_elsisi_of_egypt_and_an_exchange_with_reporters_in_davos_switzer.txt	9208	6005
2026-01-21_remarks_during_a_meeting_with_secretary_general_mark_rutte_of_the_north_atlantic_treaty_organization_and_an_exchange_wit.txt	6585	3150
2026-01-21_remarks_during_a_world_economic_forum_reception_with_business_leaders_in_davos_switzerland.txt	16358	15409
2026-01-21_remarks_prior_to_a_meeting_with_president_guy_parmelin_of_switzerland_and_an_exchange_with_reporters_in_davos_switzerlan.txt	4003	923
2026-01-22_remarks_and_an_exchange_with_reporters_aboard_air_force_one_en_route_to_joint_base_andrews_maryland.txt	31441	24142
2026-01-27_remarks_and_an_exchange_with_reporters_prior_to_departure_for_des_moines_iowa.txt	7726	5127
2026-01-27_remarks_in_an_exchange_with_reporters_in_urbandale_iowa.txt	14776	11338
2026-01-27_remarks_in_clive_iowa.txt	50502	49224
2026-02-20_remarks_by_director_of_the_white_house_office_of_science_and_technology_policy_michael_kratsios_at_the_india_ai_impact_s.txt	12312	11923
2026-02-24_address_before_a_joint_session_of_the_congress_on_the_state_of_the_union.txt	60246	59897
2026-02-28_remarks_announcing_major_combat_operations_in_iran.txt	6342	6160
